"Time","Press","Flow","OAI","CAI","HI","SI","FL","RERA","CSR","LVT","VT","MV","IE","RR","SPOP2","PR","End"
2025-2-14 20:37:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:38:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:39:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:40:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:41:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:42:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:43:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:44:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:45:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:46:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:47:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:48:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:49:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:50:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:51:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:52:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:53:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:54:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:55:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:56:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:57:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:58:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:59:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:0:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:1:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:2:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:3:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:4:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:5:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:6:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:7:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:8:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:9:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:10:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:11:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:12:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:13:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:14:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:15:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:16:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:17:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:18:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:19:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:20:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:21:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:22:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:23:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 21:24:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
